[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:4, Y:1, Z:25]
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:5, Y:2, Z:25]
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:6, Y:3, Z:25]
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:7, Y:4, Z:25]
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:8, Y:5, Z:25]
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:9, Y:6, Z:25]
[22:27:04.590] [T1] [DS=False] DEBUG |  -> [X:9, Y:7, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG | Path to target:
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:6, Y:-2, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:7, Y:-1, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:8, Y:0, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:9, Y:1, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:10, Y:2, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:10, Y:3, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:10, Y:4, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:10, Y:5, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:10, Y:6, Z:25]
[22:27:04.639] [T1] [DS=False] DEBUG |  -> [X:10, Y:7, Z:25]
[22:27:04.971] [T1] [DS=False] DEBUG | Path to target:
[22:27:04.971] [T1] [DS=False] DEBUG |  -> [X:0, Y:5, Z:29]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:1, Y:5, Z:30]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:2, Y:5, Z:31]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:3, Y:5, Z:32]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:33]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:4, Y:4, Z:34]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:5, Y:4, Z:35]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:5, Y:4, Z:36]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:4, Z:37]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:4, Z:38]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:5, Y:4, Z:39]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:5, Y:4, Z:40]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:5, Y:4, Z:41]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:4, Z:42]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:4, Z:43]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:4, Z:44]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:5, Z:45]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:6, Z:46]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:6, Z:47]
[22:27:04.972] [T1] [DS=False] DEBUG |  -> [X:6, Y:6, Z:48]
[22:27:06.237] [T1] [DS=False] DEBUG | Path to target:
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:2, Y:-2, Z:25]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:3, Y:-2, Z:24]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:3, Y:-2, Z:23]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:3, Y:-2, Z:22]
[22:27:06.237] [T1] [DS=False] DEBUG | Path to target:
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:3, Y:-2, Z:26]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:4, Y:-2, Z:25]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:5, Y:-2, Z:24]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:6, Y:-2, Z:25]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:7, Y:-2, Z:25]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:8, Y:-2, Z:25]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:9, Y:-2, Z:26]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:10, Y:-2, Z:27]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:11, Y:-2, Z:28]
[22:27:06.237] [T1] [DS=False] DEBUG |  -> [X:12, Y:-2, Z:29]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:13, Y:-2, Z:30]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:14, Y:-2, Z:31]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:15, Y:-2, Z:32]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:16, Y:-2, Z:33]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:17, Y:-2, Z:34]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:18, Y:-2, Z:35]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:-2, Z:36]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:-1, Z:37]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:0, Z:38]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:1, Z:39]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:2, Z:40]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:3, Z:41]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:4, Z:42]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:5, Z:43]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:19, Y:6, Z:43]
[22:27:06.238] [T1] [DS=False] DEBUG | Path to target:
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:1, Y:6, Z:29]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:1, Y:5, Z:30]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:2, Y:5, Z:31]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:3, Y:5, Z:32]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:33]
[22:27:06.238] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:34]
[22:27:07.921] [T1] [DS=False] DEBUG | Path to target:
[22:27:07.921] [T1] [DS=False] DEBUG |  -> [X:3, Y:-2, Z:24]
[22:27:07.921] [T1] [DS=False] DEBUG |  -> [X:3, Y:-2, Z:23]
[22:27:07.921] [T1] [DS=False] DEBUG |  -> [X:3, Y:-2, Z:22]
[22:27:08.005] [T1] [DS=False] DEBUG | Path to target:
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:3, Y:4, Z:33]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:4, Y:4, Z:34]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:5, Y:4, Z:35]
[22:27:08.005] [T1] [DS=False] DEBUG |  -> [X:5, Y:4, Z:36]
